feature,optimal_lag,f_stat,p_value,significant_5pct,f_stat_lag1,p_value_lag1,n_obs
sol_vol_5d,6,3.951,0.0006,True,1.303,0.2538,1921
eth_vol_5d,2,5.302,0.0051,True,3.693,0.0548,1921
bnb_vol_5d,6,2.265,0.035,True,0.739,0.3901,1921
eth_ret_1d,8,2.02,0.0407,True,0.503,0.4783,1921
bnb_ret_1d,8,1.885,0.0584,False,1.144,0.2849,1921
fg_lag1,6,1.957,0.0686,False,0.786,0.3753,1920
btc_eth_corr_10d,1,3.074,0.0797,False,3.074,0.0797,1921
sol_ret_1d,2,1.974,0.1391,False,0.058,0.8102,1921
fg_7d_chg,7,1.537,0.1503,False,0.04,0.8418,1920
fg_extreme_greed,2,1.827,0.1612,False,0.99,0.3199,1920
gold_vol_5d,5,1.506,0.1847,False,0.892,0.3451,1921
vix_level,6,1.397,0.2122,False,0.518,0.4717,1921
sp500_ret_1d,6,1.373,0.222,False,0.524,0.4694,1921
log_vix,6,1.369,0.2234,False,0.527,0.4678,1921
fg_extreme_fear,6,1.066,0.381,False,0.132,0.716,1920
gold_ret_1d,8,1.068,0.383,False,0.031,0.8605,1921
tnx_level,4,0.929,0.4458,False,0.167,0.6825,1921
vix_5d_chg,6,0.83,0.5464,False,0.747,0.3876,1921
dxy_vol_5d,1,0.315,0.5745,False,0.315,0.5745,1921
sp500_vol_22d,4,0.708,0.5866,False,0.315,0.5748,1908
sp500_vol_5d,6,0.589,0.7394,False,0.177,0.6741,1921
dxy_ret_1d,6,0.54,0.7785,False,0.199,0.6559,1921
tnx_5d_chg,6,0.459,0.839,False,0.176,0.6748,1921
